978-1169811119,The Mummy: A Handbook of Egyptian Funerary Archaeology ,Hardcover,English,E A Wallis Budge,Archaelogy,Yes,Yes,3,1,This scarce antiquarian book is a facsimile reprint of the original
978-0262033848,Introduction to Algorithms,Hardcover,English,Thomas H Cormen,Computer Science,Yes,No,1,0,"The latest edition of the essential text and professional reference, with substantial new material on such topics as vEB trees, multithreaded algorithms, dynamic programming, and edge-based flow."
  1-58243-011-X,The Law of Freedom in a Platform,Hardcover,English,Gerrard Winstanley,Anarchism,Yes,Yes,3,3,"The Law of Freedom in a Platform is a six-chapter book (described in the English of the time as a 'pamphlet') published in 1652 by Gerrard Winstanley, the leader of the Diggers movement. In the book he argued that under a Christian basis for society, property and wages should be abolished. In keeping with Winstanley's adherence to biblical models, the tract envisages a communistic society structured on non-hierarchical lines, establishing the beginnings of modern Christian anarchism"
978-1-58435-167-2,The Invisible Committee,Hardcover,French,The Invisible Committee,Anarchism,No,No,0,0,"The Invisible Committee is the nom de plume of an anonymous author or authors who have written French works of literature based on far-left politics, and anarchism"
978-0-8129-9356-1,The Democracy Project,Hardcover,English,David Graeber,Anarchism,No,No,0,0,"The Democracy Project: A History, a Crisis, a Movement is anthropologist David Graeber's 2013 book-length, inside account of the Occupy Wall Street."
978-0133970777,Fundamentals of Database Systems (7th Edition),Hardcover,English,Ramez Elmasri and Shamkant B Navathe,Database Management,Yes,Yes,2,1,"This book introduces the fundamental concepts necessary for designing, using, and implementing database systems and database applications"
 978-0072465631,"Database Management Systems, 3rd Edition",Hardcover,English,Rahu Ramakrisshnan,Database Management,Yes,Yes,3,2,Database Management Systems provides comprehensive and up-to-date coverage of the fundamentals of database systems.
978-0785421825,AGS General Science ,Hardcover,English, Robert Marshall,General Science,Yes,No,2,0,
978-1433545917,Biblical Doctrine: A Systematic Summary of Bible Truth ,Hardcover,English,,Bibliographies,No,No,0,0,"Doctrine isn’t just for theologians—it’s important for every Christian because it shows us who God is and how we should live. Systematizing the robust theology that has undergirded Dr. John MacArthur’s well-known preaching ministry for decades, this overview of basic Christian doctrine covers topics such as God the Father, Jesus Christ, the Holy Spirit, the Bible, salvation, and more"
 978-1577315933,The Hero with a Thousand Faces,Hardcover,English,Joseph Campbell,Encyclopedia,Yes,Yes,3,1,The Hero with a Thousand Faces has influenced millions of readers by combining the insights of modern psychology with Joseph Campbell’s revolutionary understanding of comparative mythology
978-0756668617,The Philosophy Book: Big Ideas Simply Explained,Hardcover,English,Will Buckhingham,Philosophy,No,No,0,0,"Are the ideas of René Descartes, Mary Wollstonecraft, John Locke, and Thomas Hobbes still relevant today? The Philosophy Book unpacks the writings and ideas of more than 100 of history's biggest thinkers, taking you on a journey from Ancient Greece to modern day. Explore feminism, rationalism, idealism, existentialism, and other influential movements in the world of philosophy."
978-1591451884,Jesus Calling: Enjoying Peace in His Presence,Hardcover,English,Sarah Young,Religion,Yes,Yes,3,2,"Jesus Calling is a devotional filled with uniquely inspired treasures from heaven for every day of the year.  After many years of writing in her prayer journal, missionary Sarah Young decided to listen to God with pen in hand, writing down whatever she believed "
978-0345816023,12 Rules for Life: An Antidote to Chaos,Hardcover,English,Jordan B Peterson,Ethics,Yes,Yes,3,3,What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.
